2021-04-23 14:09:43,989  INFO | http-nio-8893-exec-5 | it.vinicioflamini.omt.payment.service.PaymentService   | Payment completed successfully for order 234 
2021-04-23 14:09:43,989  INFO | http-nio-8893-exec-5 | it.vinicioflamini.omt.payment.service.PaymentService   | Going to send a "PaymentReceivedEvent" for order 234 
2021-04-23 14:09:53,810  INFO | http-nio-8893-exec-8 | it.vinicioflamini.omt.payment.service.PaymentService   | Payment failed for order id: 234 
2021-04-23 14:09:53,810  INFO | http-nio-8893-exec-8 | it.vinicioflamini.omt.payment.service.PaymentService   | Going to send a "PaymentNotReceivedEvent" for order 234 
2021-04-23 14:10:12,238  INFO | http-nio-8893-exec-10 | it.vinicioflamini.omt.payment.service.PaymentService   | Payment failed for order id: 234 
2021-04-23 14:10:12,238  INFO | http-nio-8893-exec-10 | it.vinicioflamini.omt.payment.service.PaymentService   | Going to send a "PaymentNotReceivedEvent" for order 234 
2021-04-23 14:10:28,399  INFO | http-nio-8893-exec-1 | it.vinicioflamini.omt.payment.service.PaymentService   | Payment completed successfully for order 234 
2021-04-23 14:10:28,399  INFO | http-nio-8893-exec-1 | it.vinicioflamini.omt.payment.service.PaymentService   | Going to send a "PaymentReceivedEvent" for order 234 
2021-04-23 14:10:37,332  INFO | http-nio-8893-exec-4 | it.vinicioflamini.omt.payment.service.PaymentService   | Payment failed for order id: 234 
2021-04-23 14:10:37,332  INFO | http-nio-8893-exec-4 | it.vinicioflamini.omt.payment.service.PaymentService   | Going to send a "PaymentNotReceivedEvent" for order 234 
2021-04-23 14:10:57,695  INFO | http-nio-8893-exec-5 | it.vinicioflamini.omt.payment.service.PaymentService   | Payment failed for order id: 234 
2021-04-23 14:10:57,695  INFO | http-nio-8893-exec-5 | it.vinicioflamini.omt.payment.service.PaymentService   | Going to send a "PaymentNotReceivedEvent" for order 234 
2021-04-23 14:11:08,621  INFO | http-nio-8893-exec-8 | it.vinicioflamini.omt.payment.service.PaymentService   | Payment failed for order id: 234 
2021-04-23 14:11:08,621  INFO | http-nio-8893-exec-8 | it.vinicioflamini.omt.payment.service.PaymentService   | Going to send a "PaymentNotReceivedEvent" for order 234 
2021-04-23 14:11:17,278  INFO | http-nio-8893-exec-10 | it.vinicioflamini.omt.payment.service.PaymentService   | Payment completed successfully for order 234 
